Perfil,Estado,Edad,Genero,ScoreCrediticio,PorcentajeFinanciacion,Plazo,IngresoEstimado,Gastos,CapacidadDePago,ValorCuotaMensual,M3_30AC
0,1,43,1,878,0.7562,60,4424172.0,2089192.45,1.353585439,1725033,0
1,1,39,1,783,0.8577,72,4119447.0,2632294.07,1.142827997,1301292,0
0,1,39,0,652,0.4987,72,2930400.0,2272477.32,0.622724427,1056523,0
0,1,33,0,676,0.6,60,17301000.0,6810727.86,5.076470343,2066450,0
1,0,35,1,806,0.8091,60,1013847.0,948436.27,0.090949417,719199,0
1,0,30,0,675,0.7674,72,1302600.0,1171434.61,0.146087172,897857,0
1,1,36,0,746,0.3276,60,4630991.0,4016184.41,0.876653282,701311,0
0,1,49,1,728,0.3023,84,1955024.0,824352.07,1.835035705,616158,0
1,1,40,1,735,1.0,72,1583876.0,1794293.2,-0.099389494,2117097,0
0,0,61,0,935,0.7001,72,3799425.0,637910.56,2.712253979,1165641,0
1,0,62,1,703,1.0,84,1537424.0,578999.94,1.059419589,904669,1
1,1,33,1,790,1.0,72,1216369.0,837749.98,0.238700453,1586168,0
0,0,26,0,810,1.0,72,1548722.0,668247.57,0.583614331,1508658,0
0,1,38,1,904,0.601,72,2161038.0,725931.12,0.938200946,1529637,0
0,1,50,0,838,0.75,60,9505360.0,2866244.42,1.720433197,3858979,0
0,1,32,1,943,0.4006,72,3150463.0,1023902.39,0.986977105,2154620,0
0,1,66,0,852,1.0,60,3287969.0,967473.27,0.819713766,2830861,0
1,0,32,1,684,0.7143,60,1199058.0,644834.01,0.615081371,901058,1
1,1,64,1,739,0.7247,60,3745200.0,3430809.92,0.144942941,2169061,0
1,0,23,0,723,0.9722,48,0.0,514624.26,-0.419675937,1226242,1
1,1,27,1,853,1.0,72,15656036.0,4326760.55,2.628100963,4310822,0
1,1,55,1,852,0.9594,72,2012622.0,520636.21,0.728418346,2048254,0
0,1,38,1,798,0.9189,72,7042550.0,2168983.1,2.109011437,2310830,0
1,1,55,1,742,1.0147,72,2314074.0,956197.58,0.845568469,1605874,1
1,1,71,0,832,1.0,72,4307410.0,2489404.76,0.943111668,1927667,0
0,1,62,1,735,0.3474,36,30000000.0,24844480.21,2.566081657,2009102,0
1,0,27,1,781,1.0,48,1393346.0,651107.24,0.565257273,1313099,0
0,1,29,1,805,1.0,60,1258802.0,2562901.64,-0.86278222,1511505,0
1,1,57,1,856,1.0,60,4343301.0,2807276.71,0.659802264,2328007,0
0,0,43,1,848,0.6014,72,2745518.0,2054931.38,1.13886774,606380,0
1,1,45,1,710,0.969,72,3388586.0,2914459.98,0.237954148,1992510,0
0,1,51,1,806,0.9294,72,2207657.0,1100542.48,0.894894713,1237145,0
0,1,26,0,949,0.3383,72,3114615.0,1506013.55,1.857676913,865921,0
0,1,44,0,725,0.8797,72,1930667.0,1073436.79,0.628978826,1362892,1
1,1,40,0,877,0.5163,72,2113400.0,1949506.27,0.081039466,2022394,0
1,1,40,1,848,0.5145,72,2113413.0,947926.24,1.578302943,738443,0
1,1,35,0,824,0.9452,60,3606927.0,3275674.48,0.138366127,2394029,0
0,1,24,1,786,1.0,72,2764983.0,2298907.91,0.078726374,5920190,0
0,1,29,1,615,0.5619,72,6845801.0,3232987.07,2.742829542,1317185,0
0,1,40,1,729,0.4759,48,1198035.0,586206.65,0.420483534,1455059,0
1,0,26,0,719,0.6111,72,2843700.0,1333358.68,2.80600632,538253,0
1,1,30,0,786,1.0156,72,11488200.0,3285133.43,3.278007625,2502455,0
1,0,32,1,794,1.0,84,2735738.0,1564914.81,0.971693852,1204930,1
0,1,47,0,936,0.1784,48,6187420.0,1732858.68,4.53697548,981835,0
0,1,45,1,837,1.0,72,9705654.0,8207810.25,0.311853079,4803043,0
0,0,59,0,877,1.0,72,2263381.0,1074763.91,1.158572976,1025932,0
1,1,60,0,933,0.9073,72,5658061.0,3606819.94,0.400583416,5120634,0
1,1,36,1,787,0.7731,72,1436035.0,1126217.53,0.171351543,1808081,0
0,0,58,0,797,1.0,48,1622800.0,1078103.63,0.876360113,621544,0
0,1,62,1,948,1.0203,72,2005652.0,1456408.19,0.225083318,2440180,0
0,1,40,1,795,0.8681,72,4458689.0,2072851.12,1.096297324,2176269,0
1,0,31,1,644,0.9167,84,1160000.0,701829.67,0.335332379,1366317,0
1,1,59,1,686,0.7771,72,4830236.0,3642172.87,0.380741262,3120395,0
0,1,64,1,861,1.0,72,7830673.0,1599924.04,3.068519718,2030539,0
1,1,36,1,803,0.5711,72,1286817.0,1876352.58,-0.67988871,867106,0
1,1,35,0,823,1.0,72,2098629.0,1410083.11,0.340087152,2024616,0
1,1,32,0,950,0.59,72,3052986.0,1746640.23,1.09699866,1190836,0
1,1,67,1,789,1.0,72,2584617.0,1314333.27,0.521428481,2436161,0
1,1,38,0,709,1.0,72,5748647.0,1616027.86,1.981284718,2085828,0
1,1,34,1,894,1.0,72,1136098.0,543482.54,0.252410513,2347824,0
1,0,35,0,825,1.0,72,2327942.0,970083.93,0.938608109,1446672,0
1,1,37,0,763,0.1051,36,5617718.0,3661147.88,8.710035524,224634,0
0,0,62,0,855,1.0,84,2727066.0,1346714.74,0.899630242,1534354,0
1,1,40,1,842,0.4797,84,8674570.0,2173405.72,3.295207487,1972915,0
0,0,62,0,721,0.7,72,1339410.0,1813453.45,-0.289419895,1637909,1
1,1,38,1,748,0.452,84,4286110.0,2765641.43,1.850666302,821579,0
0,1,34,1,800,1.0189,72,7882973.0,4714212.62,1.349489412,2348118,0
1,1,40,1,903,0.3774,72,6284387.0,2163683.01,1.990727303,2069949,0
0,0,47,0,783,0.464,84,1716600.0,1407580.26,0.145342125,2126154,0
1,1,66,0,771,0.8468,72,0.0,2429495.93,-1.157360257,2099170,0
1,1,37,0,809,1.0,72,1044006.0,794512.36,0.164848969,1513468,0
1,1,57,0,770,1.0,84,4158343.0,1558387.18,1.238443374,2099374,0
1,1,50,1,967,0.9953,72,4880712.0,2140242.42,1.000198392,2739926,0
0,1,56,0,884,1.0,60,34800000.0,9542178.95,4.724258156,5346410,0
1,0,31,1,769,0.8442,84,4571400.0,2716929.87,1.091620569,1698823,0
1,1,44,0,812,1.0,60,0.0,3493256.48,-1.352865296,2582117,0
1,0,62,0,665,0.7345,72,6941918.0,4959664.58,1.162998051,1704434,0
0,1,41,1,730,1.0,60,7044217.0,2747759.48,1.840988886,2333777,0
1,1,59,1,948,0.6259,72,8814850.0,3887696.1,1.326200703,3715240,0
0,1,50,1,783,1.0,72,1367716.0,1729587.19,-0.088401782,4093483,0
1,1,30,1,758,1.0191,72,2569115.0,2372721.88,0.081878024,2398606,1
1,0,30,0,589,1.0,60,1160000.0,1294026.13,-0.081727386,1639917,1
